country_code,country_name,region,income_level,capital_city,longitude,latitude
910,High income economies (WB),Unknown,Unknown,,,
99033,World Marine Bunkers,Unknown,Unknown,,,
99036,Residual/unallocated ODA: Eastern and South-eastern Asia,Unknown,Unknown,,,
909,Eastern Southern South-Eastern Asia and Oceania (MDG),Unknown,Unknown,,,
99059,Large Marine Ecosystem: Labrador - Newfoundland,Unknown,Unknown,,,
99089,Large Marine Ecosystem: North Australian Shelf,Unknown,Unknown,,,
99064,Large Marine Ecosystem: Patagonian Shelf,Unknown,Unknown,,,
61,Polynesia,Unknown,Unknown,,,
99027,"FAO Major Fishing Area: Indian Ocean, Western",Unknown,Unknown,,,
99032,FAO Major Fishing Area: Mediterranean and Black Sea,Unknown,Unknown,,,
99044,WHO South-East Asia,Unknown,Unknown,,,
99071,Large Marine Ecosystem: Norwegian Sea,Unknown,Unknown,,,
99096,Large Marine Ecosystem: New Zealand Shelf,Unknown,Unknown,,,
99108,Large Marine Ecosystem: Kara Sea,Unknown,Unknown,,,
44,Bahamas,Unknown,Unknown,,,
99018,"FAO Major Fishing Area: Pacific, Eastern Central",Unknown,Unknown,,,
99058,Large Marine Ecosystem: Scotian Shelf,Unknown,Unknown,,,
99061,Large Marine Ecosystem: Pacific Central-American Coastal,Unknown,Unknown,,,
99075,Large Marine Ecosystem: Iberian Coastal,Unknown,Unknown,,,
862,Venezuela (Bolivarian Republic of),Unknown,Unknown,,,
485,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",Unknown,Unknown,,,
738,Sub-Saharan Africa (inc. Sudan),Unknown,Unknown,,,
908,Western Europe (ILO),Unknown,Unknown,,,
99084,Large Marine Ecosystem: Bay of Bengal,Unknown,Unknown,,,
14,Eastern Africa,Unknown,Unknown,,,
127,Southern Asia (excluding India),Unknown,Unknown,,,
99046,WHO Eastern Mediterranean,Unknown,Unknown,,,
926,LLDC Europe,Unknown,Unknown,,,
99072,Large Marine Ecosystem: North Sea,Unknown,Unknown,,,
62,Central and Southern Asia,Unknown,Unknown,,,
891,Serbia and Montenegro [former],Unknown,Unknown,,,
254,French Guiana,Unknown,Unknown,,,
334,Heard Island and McDonald Islands,Unknown,Unknown,,,
680,Sark,Unknown,Unknown,,,
514,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",Unknown,Unknown,,,
515,Developing regions,Unknown,Unknown,,,
513,Europe and Northern America,Unknown,Unknown,,,
902,Asia and the Pacific (ILO),Unknown,Unknown,,,
922,Custom groupings of data providers,Unknown,Unknown,,,
99087,Large Marine Ecosystem: Sulu-Celebes Sea,Unknown,Unknown,,,
99100,Large Marine Ecosystem: Sea of Japan,Unknown,Unknown,,,
99113,Large Marine Ecosystem: Hudson Bay Complex,Unknown,Unknown,,,
831,Guernsey,Unknown,Unknown,,,
792,Türkiye,Unknown,Unknown,,,
722,Small island developing States (SIDS),Unknown,Unknown,,,
827,United Kingdom (England and Wales),Unknown,Unknown,,,
99054,Large Marine Ecosystem: Gulf of California,Unknown,Unknown,,,
498,Republic of Moldova,Unknown,Unknown,,,
202,Sub-Saharan Africa,Unknown,Unknown,,,
39,Southern Europe,Unknown,Unknown,,,
913,Low and middle income economies (WB),Unknown,Unknown,,,
929,LDC Asia,Unknown,Unknown,,,
238,Falkland Islands (Malvinas),Unknown,Unknown,,,
312,Guadeloupe,Unknown,Unknown,,,
904,Middle East and North Africa (ILO),Unknown,Unknown,,,
370,Iraq (Kurdistan Region),Unknown,Unknown,,,
